ID;ShortName;Name
1;г;город
2;пгт;поселок городского типа
3;рп;рабочий поселок
4;кп;курортный поселок
5;дп;дачный поселок
6;гп;городской поселок
7;п;поселок
8;к;кишлак
9;нп;населенный пункт
10;п.ст;поселок при станции (поселок станции)
11;п ж/д ст;поселок при железнодорожной станции
12;ж/д блокпост;железнодорожный блокпост
13;ж/д будка;железнодорожная будка
14;ж/д ветка;железнодорожная ветка
15;ж/д казарма;железнодорожная казарма
16;ж/д комбинат;железнодорожный комбинат
17;ж/д платформа;железнодорожная платформа
18;ж/д площадка;железнодорожная площадка
19;ж/д путевой пост;железнодорожный путевой пост
20;ж/д остановочный пункт;железнодорожный остановочный пункт
21;ж/д рзд;железнодорожный разъезд
22;ж/д ст;железнодорожная станция
23;м;местечко
24;д;деревня
25;с;село
26;сл;слобода
27;ст;станция
28;ст-ца;станица
29;у;улус
30;х;хутор
31;рзд;разъезд
32;зим;зимовье
